post_id,user_id,post_type,creation_date,score,view_count
1,1,question,"2008-01-12 10:00:00",10,150
13,13,question,"2008-07-15 22:00:00",11,80
14,14,answer,"2008-07-16 23:00:00",5,0
15,15,question,"2008-08-22 09:00:00",14,140
16,16,answer,"2008-08-23 10:00:00",6,0
17,17,question,"2008-09-30 11:00:00",10,160
18,18,answer,"2008-10-01 12:00:00",4,0
21,21,question,"2008-11-18 15:00:00",8,70
22,22,answer,"2008-11-19 16:00:00",5,0
23,23,question,"2008-12-25 17:00:00",9,200
24,24,answer,"2008-12-26 18:00:00",4,0
