month,total_revenue,marketing_spend,other_expenses,romi,roi
2008-01,1600.00,2000.00,1200.00,-20.000000,-50.000000
2008-02,1700.00,2400.00,1400.00,-29.166667,-55.263158
2008-03,1800.00,3000.00,1600.00,-40.000000,-60.869565
2008-04,1900.00,2600.00,1500.00,-26.923077,-53.658537
2008-05,2000.00,2200.00,1360.00,-9.090909,-43.820225
2008-06,2100.00,3200.00,1440.00,-34.375000,-54.741379
2008-07,2200.00,2800.00,1300.00,-21.428571,-46.341463
2008-08,2300.00,3400.00,1600.00,-32.352941,-54.000000
2008-09,2400.00,3600.00,1560.00,-33.333333,-53.488372
2008-10,2500.00,3000.00,1380.00,-16.666667,-42.922374
2008-11,2600.00,4000.00,1460.00,-35.000000,-52.380952
